date,sector,exchange,pe
2024-09-11,Technology,NASDAQ,51.75110923604566
2024-09-10,Technology,NASDAQ,49.35784841023667
2024-09-09,Technology,NASDAQ,48.35269956607998
2024-09-06,Technology,NASDAQ,47.343710622277705
2024-09-05,Technology,NASDAQ,46.80092229868138
2024-09-04,Technology,NASDAQ,46.522278534589134
2024-09-03,Technology,NASDAQ,46.78938731860853
2024-09-02,Technology,NASDAQ,49.818623707094716
2024-08-30,Technology,NASDAQ,49.798714547874816
2024-08-29,Technology,NASDAQ,49.21307976657392
2024-08-28,Technology,NASDAQ,52.99000029935334
2024-08-27,Technology,NASDAQ,54.03158436941393
2024-08-26,Technology,NASDAQ,53.36574512327296
2024-08-23,Technology,NASDAQ,54.599062077588776
2024-08-22,Technology,NASDAQ,53.26999416871265
2024-08-21,Technology,NASDAQ,54.613032452549476
2024-08-20,Technology,NASDAQ,54.13880068711647
2024-08-19,Technology,NASDAQ,54.65188973971249
2024-08-16,Technology,NASDAQ,53.16967719486526
2024-08-15,Technology,NASDAQ,52.964749884082316
2024-08-14,Technology,NASDAQ,51.05913209768885
2024-08-13,Technology,NASDAQ,50.78900083680706
2024-08-12,Technology,NASDAQ,48.84013232060103
2024-08-09,Technology,NASDAQ,48.3456356104995
2024-08-08,Technology,NASDAQ,48.483571190045005
2024-08-07,Technology,NASDAQ,46.116382179601395
2024-08-06,Technology,NASDAQ,47.31321987067054
2024-08-05,Technology,NASDAQ,46.46244329188858
2024-08-02,Technology,NASDAQ,48.41851745011468
2024-08-01,Technology,NASDAQ,48.99512968475677
2024-07-31,Technology,NASDAQ,53.619929884732684
2024-07-30,Technology,NASDAQ,50.95416512419487
2024-07-29,Technology,NASDAQ,53.442187848996625
2024-07-26,Technology,NASDAQ,53.88408445525117
2024-07-25,Technology,NASDAQ,53.37728043746781
2024-07-24,Technology,NASDAQ,54.29694427491707
2024-07-23,Technology,NASDAQ,57.26071205197702
2024-07-22,Technology,NASDAQ,56.98582776703607
2024-07-19,Technology,NASDAQ,56.12412844533491
2024-07-18,Technology,NASDAQ,56.971754200350645
2024-07-17,Technology,NASDAQ,56.92772148643718
2024-07-16,Technology,NASDAQ,60.455850579100975
2024-07-15,Technology,NASDAQ,60.77083028801789
2024-07-12,Technology,NASDAQ,60.863931595498336
2024-07-11,Technology,NASDAQ,60.269360502114665
2024-07-10,Technology,NASDAQ,62.231203562887906
2024-07-09,Technology,NASDAQ,61.15192242413638
2024-07-08,Technology,NASDAQ,61.15118584658022
2024-07-05,Technology,NASDAQ,60.41513562221779
2024-07-04,Technology,NASDAQ,59.88588361925807
2024-07-03,Technology,NASDAQ,59.88397817926713
